n,m,time(s),sat,median_time(s)
5,0,0.000030524,True,0.000029299
5,1,0.000035935,True,0.000032889
5,1,0.000033550,True,0.000031834
5,1,0.000036677,True,0.000033401
5,1,0.000033889,True,0.000032172
5,1,0.000033306,True,0.000031753
5,1,0.000035590,True,0.000033318
5,1,0.000033790,True,0.000032612
5,1,0.000037659,True,0.000033868
5,1,0.000034774,True,0.000033754
5,1,0.000034820,True,0.000033402
5,1,0.000036087,True,0.000032930
5,1,0.000043700,True,0.000033236
5,1,0.000033214,True,0.000031707
5,1,0.000042339,True,0.000032863
5,1,0.000031098,True,0.000032496
5,1,0.000031936,True,0.000033350
5,1,0.000030621,True,0.000032342
5,1,0.000038457,True,0.000028374
5,1,0.000029266,True,0.000025370
5,1,0.000027185,True,0.000025234
5,2,0.000024689,True,0.000023167
5,2,0.000028455,True,0.000024691
5,2,0.000031184,True,0.000025620
5,2,0.000026856,True,0.000023592
5,2,0.000026367,True,0.000023168
5,2,0.000024675,True,0.000022434
5,2,0.000024350,True,0.000022750
5,2,0.000023784,True,0.000022768
5,2,0.000023368,True,0.000021830
5,2,0.000026766,True,0.000022620
5,2,0.000024514,True,0.000021772
5,2,0.000158372,True,0.000023784
5,2,0.000027077,True,0.000024579
5,2,0.000024523,True,0.000023169
5,2,0.000023185,True,0.000021916
5,2,0.000021321,True,0.000020251
5,2,0.000024255,True,0.000023186
5,2,0.000023586,True,0.000022208
5,2,0.000023269,True,0.000021885
5,2,0.000022825,True,0.000021594
5,2,0.000023604,True,0.000022341
5,2,0.000025378,True,0.000023586
5,2,0.000024987,True,0.000023382
5,2,0.000023081,True,0.000022026
5,2,0.000022172,True,0.000021191
5,2,0.000022546,True,0.000021095
5,2,0.000022259,True,0.000020487
5,2,0.000022594,True,0.000021327
5,2,0.000023329,True,0.000021987
5,2,0.000022633,True,0.000021139
5,2,0.000023567,True,0.000021906
5,2,0.000022694,True,0.000021245
5,2,0.000022523,True,0.000021339
5,2,0.000021906,True,0.000020671
5,2,0.000023316,True,0.000021876
5,2,0.000022478,True,0.000021285
5,2,0.000021702,True,0.000020685
5,2,0.000023689,True,0.000021968
5,2,0.000021805,True,0.000020789
5,2,0.000023856,True,0.000021999
5,2,0.000022860,True,0.000021628
5,2,0.000023989,True,0.000022164
5,2,0.000022415,True,0.000020768
5,2,0.000022691,True,0.000021368
5,2,0.000021527,True,0.000020730
5,2,0.000022603,True,0.000020914
5,2,0.000021911,True,0.000020306
5,2,0.000021989,True,0.000021186
5,2,0.000022880,True,0.000021202
5,2,0.000023453,True,0.000021772
5,2,0.000021254,True,0.000020431
5,2,0.000023050,True,0.000021087
5,2,0.000023117,True,0.000021812
5,2,0.000022514,True,0.000021307
5,2,0.000022080,True,0.000020667
5,2,0.000022191,True,0.000020961
5,2,0.000021888,True,0.000021198
5,2,0.000022383,True,0.000021459
5,2,0.000021798,True,0.000020463
5,2,0.000023732,True,0.000022811
5,2,0.000026084,True,0.000024326
5,2,0.000023670,True,0.000022155
5,2,0.000021968,True,0.000020749
