graph, edges, result, time
G72_100, 2556, UNSAT, 0.57374287s
G73_10, 262, UNSAT, 0.02650404s
G73_20, 525, UNSAT, 0.06673884s
G73_30, 788, UNSAT, 0.10704899s
G73_40, 1051, UNSAT, 0.15777111s
G73_50, 1314, UNSAT, 0.17383790s
G73_60, 1576, UNSAT, 0.47115111s
G73_70, 1839, UNSAT, 0.30276394s
G73_80, 2102, UNSAT, 0.42338991s
G73_90, 2365, UNSAT, 0.47522211s
G73_100, 2628, UNSAT, 1.25899506s
G74_10, 270, UNSAT, 0.02298999s
G74_20, 540, UNSAT, 0.05359697s
G74_30, 810, UNSAT, 0.11096811s
G74_40, 1080, UNSAT, 0.15188098s
G74_50, 1350, UNSAT, 0.16687393s
G74_60, 1620, UNSAT, 0.24733496s
G74_70, 1890, UNSAT, 0.32800698s
G74_80, 2160, UNSAT, 0.41995907s
G74_90, 2430, UNSAT, 0.51991200s
G74_100, 2701, UNSAT, 0.68137598s
G75_10, 277, UNSAT, 0.03147197s
G75_20, 555, UNSAT, 0.05012798s
G75_30, 832, UNSAT, 0.13305593s
G75_40, 1110, UNSAT, 0.18752694s
G75_50, 1387, UNSAT, 0.19957304s
G75_60, 1665, UNSAT, 0.25148392s
G75_70, 1942, UNSAT, 0.35136700s
G75_80, 2220, UNSAT, 0.45651197s
G75_90, 2497, UNSAT, 0.62560987s
G75_100, 2775, UNSAT, 0.72702098s
G76_10, 285, UNSAT, 0.03404999s
G76_20, 570, UNSAT, 0.08536601s
G76_30, 855, UNSAT, 0.17455196s
G76_40, 1140, UNSAT, 0.19135809s
G76_50, 1425, UNSAT, 0.21340394s
G76_60, 1710, UNSAT, 0.27582502s
G76_70, 1994, UNSAT, 0.37156200s
G76_80, 2280, UNSAT, 0.45359898s
G76_90, 2565, UNSAT, 0.68365598s
G76_100, 2850, UNSAT, 0.94069195s
G77_10, 292, UNSAT, 0.03182817s
G77_20, 585, UNSAT, 0.06190014s
G77_30, 877, UNSAT, 0.13207483s
G77_40, 1170, UNSAT, 0.20790100s
G77_50, 1463, UNSAT, 0.22486496s
G77_60, 1755, UNSAT, 0.28458810s
G77_70, 2048, UNSAT, 0.41033006s
G77_80, 2340, UNSAT, 0.50254297s
G77_90, 2633, UNSAT, 0.66043305s
G77_100, 2926, UNSAT, 2.23471284s
G78_10, 300, UNSAT, 0.03862000s
G78_20, 600, UNSAT, 0.07023501s
G78_30, 900, UNSAT, 0.13128495s
G78_40, 1201, UNSAT, 0.19196987s
G78_50, 1501, UNSAT, 0.24919009s
G78_60, 1801, UNSAT, 0.32655287s
G78_70, 2102, UNSAT, 0.40787005s
G78_80, 2402, UNSAT, 0.53769994s
G78_90, 2702, UNSAT, 0.71678996s
G78_100, 3003, UNSAT, 2.20265102s
G79_10, 308, UNSAT, 0.04753780s
G79_20, 616, UNSAT, 0.06943917s
G79_30, 924, UNSAT, 0.21108818s
G79_40, 1232, UNSAT, 0.25416303s
G79_50, 1540, UNSAT, 0.24844313s
G79_60, 1848, UNSAT, 0.32375383s
G79_70, 2156, UNSAT, 0.45910907s
G79_80, 2464, UNSAT, 0.56079698s
G79_90, 2772, UNSAT, 0.79482985s
G79_100, 3081, UNSAT, 1.56078005s
G80_10, 316, UNSAT, 0.04491997s
G80_20, 632, UNSAT, 0.08868217s
G80_30, 948, UNSAT, 0.13949084s
G80_40, 1264, UNSAT, 0.25148916s
G80_50, 1580, UNSAT, 0.25454783s
G80_60, 1896, UNSAT, 0.33465004s
G80_70, 2212, UNSAT, 0.48719692s
G80_80, 2528, UNSAT, 0.68673301s
G80_90, 2844, UNSAT, 0.81882095s
G80_100, 3160, UNSAT, 3.19950294s
G81_10, 324, UNSAT, 0.13848186s
G81_20, 648, UNSAT, 0.12932992s
G81_30, 972, UNSAT, 0.13864112s
G81_40, 1296, UNSAT, 0.23318195s
G81_50, 1620, UNSAT, 0.25928521s
G81_60, 1944, UNSAT, 0.37704802s
G81_70, 2268, UNSAT, 0.51953411s
G81_80, 2592, UNSAT, 0.62742591s
G81_90, 2916, UNSAT, 1.97128606s
G81_100, 3240, UNSAT, 3.29641604s
G82_10, 332, UNSAT, 0.04825878s
G82_20, 664, UNSAT, 0.09379005s
G82_30, 996, UNSAT, 0.17505884s
G82_40, 1328, UNSAT, 0.26599479s
G82_50, 1660, UNSAT, 0.28630900s
G82_60, 1992, UNSAT, 0.40171814s
G82_70, 2324, UNSAT, 0.51307297s
G82_80, 2656, UNSAT, 0.72769809s
G82_90, 2988, UNSAT, 2.67811012s
G82_100, 3321, UNSAT, 5.15251088s
G83_10, 340, UNSAT, 0.05285501s
G83_20, 680, UNSAT, 0.09666181s
G83_30, 1020, UNSAT, 0.19119000s
G83_40, 1361, UNSAT, 0.27185297s
G83_50, 1701, UNSAT, 0.30522394s
G83_60, 2041, UNSAT, 0.41165400s
G83_70, 2382, UNSAT, 0.52104187s
G83_80, 2722, UNSAT, 0.74464202s
G83_90, 3062, UNSAT, 4.22094011s
G83_100, 3403, UNSAT, 3.42528391s
G84_10, 348, UNSAT, 0.04437900s
G84_20, 697, UNSAT, 0.09677505s
G84_30, 1045, UNSAT, 0.20982194s
G84_40, 1394, UNSAT, 0.28390002s
G84_50, 1743, UNSAT, 0.32718706s
G84_60, 2091, UNSAT, 0.45613289s
G84_70, 2440, UNSAT, 0.65542006s
G84_80, 2788, UNSAT, 1.48537016s
G84_90, 3137, UNSAT, 3.88620687s
G84_100, 3486, UNSAT, 4.02210689s
G85_10, 357, UNSAT, 0.22449398s
G85_20, 714, UNSAT, 0.12573695s
G85_30, 1071, UNSAT, 0.30626488s
G85_40, 1428, UNSAT, 0.29199600s
G85_50, 1785, UNSAT, 0.35697103s
G85_60, 2142, UNSAT, 0.64613390s
G85_70, 2499, UNSAT, 0.65635395s
G85_80, 2856, UNSAT, 1.71860814s
G85_90, 3213, UNSAT, 3.42699695s
G85_100, 3570, UNSAT, 4.53037405s
G86_10, 365, UNSAT, 0.04185009s
G86_20, 731, UNSAT, 0.15304708s
G86_30, 1096, UNSAT, 0.19399405s
G86_40, 1462, UNSAT, 0.35063100s
G86_50, 1827, UNSAT, 0.38063097s
G86_60, 2193, UNSAT, 0.49922299s
G86_70, 2558, UNSAT, 1.13787293s
G86_80, 2924, UNSAT, 1.96632600s
G86_90, 3289, UNSAT, 3.87933493s
G86_100, 3655, UNSAT, 4.85240698s
G87_10, 374, UNSAT, 0.06324291s
G87_20, 748, UNSAT, 0.12014198s
G87_30, 1122, UNSAT, 0.21447301s
G87_40, 1496, UNSAT, 0.34530902s
G87_50, 1870, UNSAT, 0.39274001s
G87_60, 2244, UNSAT, 0.53229499s
G87_70, 2618, UNSAT, 0.74364305s
G87_80, 2992, UNSAT, 3.07056499s
G87_90, 3366, UNSAT, 3.71018291s
G87_100, 3741, UNSAT, 5.57446480s
G88_10, 382, UNSAT, 0.05833697s
G88_20, 765, UNSAT, 0.15181494s
G88_30, 1148, UNSAT, 0.20269203s
G88_40, 1531, UNSAT, 0.35364318s
G88_50, 1914, UNSAT, 0.78003812s
G88_60, 2296, UNSAT, 0.73615098s
G88_70, 2679, UNSAT, 1.42875385s
G88_80, 3062, UNSAT, 2.96161389s
G88_90, 3445, UNSAT, 5.65490794s
G88_100, 3828, UNSAT, 8.89824986s
G89_10, 391, UNSAT, 0.06238413s
G89_20, 783, UNSAT, 0.12383986s
G89_30, 1174, UNSAT, 0.37689614s
G89_40, 1566, UNSAT, 0.35547113s
G89_50, 1958, UNSAT, 0.40851283s
G89_60, 2349, UNSAT, 0.64744377s
G89_70, 2741, UNSAT, 1.31357622s
G89_80, 3132, UNSAT, 2.52656293s
G89_90, 3524, UNSAT, 4.80819416s
G89_100, 3916, UNSAT, 5.58640790s
G90_10, 400, UNSAT, 0.05324507s
G90_20, 801, UNSAT, 0.14796996s
G90_30, 1201, UNSAT, 0.23296309s
G90_40, 1602, UNSAT, 0.40110993s
G90_50, 2002, UNSAT, 0.44334006s
G90_60, 2403, UNSAT, 0.72199392s
G90_70, 2803, UNSAT, 1.47352195s
G90_80, 3204, UNSAT, 3.09652114s
G90_90, 3604, UNSAT, 5.12846303s
G90_100, 4005, UNSAT, 7.19982505s
G91_10, 409, UNSAT, 0.12894702s
G91_20, 819, UNSAT, 0.15794587s
G91_30, 1228, UNSAT, 0.24635100s
G91_40, 1638, UNSAT, 0.29622221s
G91_50, 2047, UNSAT, 0.45833588s
G91_60, 2457, UNSAT, 0.63579202s
G91_70, 2866, UNSAT, 1.63446689s
G91_80, 3276, UNSAT, 3.58384991s
G91_90, 3685, UNSAT, 5.39173603s
G91_100, 4095, UNSAT, 7.12440300s
G92_10, 418, UNSAT, 0.07445502s
G92_20, 837, UNSAT, 0.14627409s
G92_30, 1255, UNSAT, 0.28317499s
G92_40, 1674, UNSAT, 0.31924891s
G92_50, 2093, UNSAT, 0.47814584s
G92_60, 2511, UNSAT, 0.68440795s
G92_70, 2930, UNSAT, 2.28269005s
G92_80, 3348, UNSAT, 3.90485477s
G92_90, 3767, UNSAT, 5.51076913s
G92_100, 4186, UNSAT, 6.77555084s
G93_10, 427, UNSAT, 0.08017111s
G93_20, 855, UNSAT, 0.18536592s
G93_30, 1283, UNSAT, 0.27634501s
G93_40, 1711, UNSAT, 0.35547996s
G93_50, 2139, UNSAT, 0.48988700s
G93_60, 2566, UNSAT, 0.94650888s
G93_70, 2994, UNSAT, 2.52194309s
G93_80, 3422, UNSAT, 4.34182596s
G93_90, 3850, UNSAT, 5.64258003s
G93_100, 4278, UNSAT, 6.36909199s
G94_10, 437, UNSAT, 0.13302803s
G94_20, 874, UNSAT, 0.16109395s
G94_30, 1311, UNSAT, 0.30629516s
G94_40, 1748, UNSAT, 0.34112000s
G94_50, 2185, UNSAT, 0.53321719s
G94_60, 2622, UNSAT, 0.79229283s
G94_70, 3059, UNSAT, 2.57173085s
G94_80, 3496, UNSAT, 6.30886102s
G94_90, 3933, UNSAT, 8.76306081s
