n,m,time(s),sat,median_time(s)
6,0,0.000046217,True,0.000042014
6,1,0.000041646,True,0.000039148
6,1,0.000040538,True,0.000038070
6,1,0.000043287,True,0.000039426
6,1,0.000047086,True,0.000041094
6,1,0.000044147,True,0.000041455
6,1,0.000044209,True,0.000041085
6,1,0.000042756,True,0.000040759
6,1,0.000040481,True,0.000039365
6,1,0.000047618,True,0.000041707
6,1,0.000040144,True,0.000038495
6,1,0.000039101,True,0.000038551
6,1,0.000043296,True,0.000040445
6,1,0.000044218,True,0.000041125
6,1,0.000041598,True,0.000039943
6,1,0.000044138,True,0.000040628
6,1,0.000044392,True,0.000041196
6,1,0.000045968,True,0.000041452
6,1,0.000047973,True,0.000042453
6,1,0.000046978,True,0.000041019
6,1,0.000049508,True,0.000041460
6,1,0.000044006,True,0.000040837
6,1,0.000041439,True,0.000040340
6,1,0.000044298,True,0.000042243
6,1,0.000046649,True,0.000041886
6,1,0.000045990,True,0.000042395
6,1,0.000040401,True,0.000040255
6,1,0.000049413,True,0.000042547
6,1,0.000045518,True,0.000042344
6,1,0.000048957,True,0.000039907
6,1,0.000041403,True,0.000040215
6,2,0.000044712,True,0.000041605
6,2,0.000045471,True,0.000042345
6,2,0.000049404,True,0.000045441
6,2,0.000048534,True,0.000044813
6,2,0.000043753,True,0.000041112
6,2,0.000046972,True,0.000043117
6,2,0.000045689,True,0.000042863
6,2,0.000046514,True,0.000042782
6,2,0.000065754,True,0.000037254
6,2,0.000028164,True,0.000027379
6,2,0.000029525,True,0.000027049
6,2,0.000032347,True,0.000029602
6,2,0.000028989,True,0.000027727
6,2,0.000031353,True,0.000029239
6,2,0.000031007,True,0.000027824
6,2,0.000030811,True,0.000029392
6,2,0.000031270,True,0.000028810
6,2,0.000028428,True,0.000027572
6,2,0.000031673,True,0.000029939
6,2,0.000031192,True,0.000029262
6,2,0.000032195,True,0.000029961
6,2,0.000032095,True,0.000029998
6,2,0.000033541,True,0.000028926
6,2,0.000033335,True,0.000028816
6,2,0.000033558,True,0.000030350
6,2,0.000031767,True,0.000029908
6,2,0.000029463,True,0.000028753
6,2,0.000031806,True,0.000028307
6,2,0.000034294,True,0.000032197
6,2,0.000035562,True,0.000031016
6,2,0.000030262,True,0.000028802
6,2,0.000032517,True,0.000029984
6,2,0.000030962,True,0.000029704
6,2,0.000033062,True,0.000030836
6,2,0.000034172,True,0.000030760
6,2,0.000034748,True,0.000031928
6,2,0.000034014,True,0.000031034
6,2,0.000035135,True,0.000032675
6,2,0.000034415,True,0.000030388
6,2,0.000032532,True,0.000029964
6,2,0.000032955,True,0.000030745
6,2,0.000031041,True,0.000029433
6,2,0.000032771,True,0.000031016
6,2,0.000033663,True,0.000030728
6,2,0.000033231,True,0.000030028
6,2,0.000034467,True,0.000029670
6,2,0.000034177,True,0.000030943
6,2,0.000032733,True,0.000030379
6,2,0.000030409,True,0.000029337
6,2,0.000034083,True,0.000030733
6,2,0.000034961,True,0.000031646
6,2,0.000037486,True,0.000031352
6,2,0.000032631,True,0.000030453
6,2,0.000037342,True,0.000033602
6,2,0.000037943,True,0.000032910
6,2,0.000033258,True,0.000031080
6,2,0.000034012,True,0.000031522
6,2,0.000035406,True,0.000032616
6,2,0.000031938,True,0.000030029
6,2,0.000034113,True,0.000032250
6,2,0.000037999,True,0.000036277
6,2,0.000039220,True,0.000035335
6,2,0.000037746,True,0.000035023
6,2,0.000032547,True,0.000030055
6,2,0.000033345,True,0.000031689
6,2,0.000036112,True,0.000030161
6,2,0.000029957,True,0.000028596
6,2,0.000034475,True,0.000030304
6,2,0.000033060,True,0.000030783
6,2,0.000033417,True,0.000030811
6,2,0.000035111,True,0.000030321
6,2,0.000031761,True,0.000029605
6,2,0.000031550,True,0.000029914
6,2,0.000034356,True,0.000031356
6,2,0.000032078,True,0.000030280
6,2,0.000032739,True,0.000030052
6,2,0.000036789,True,0.000032908
6,2,0.000035232,True,0.000032029
6,2,0.000036625,True,0.000031324
6,2,0.000031965,True,0.000029554
6,2,0.000032779,True,0.000029604
6,2,0.000031808,True,0.000030712
6,2,0.000032920,True,0.000029570
6,2,0.000031492,True,0.000028501
6,2,0.000030421,True,0.000029012
6,2,0.000032845,True,0.000030172
6,2,0.000030252,True,0.000028574
6,2,0.000033835,True,0.000030286
6,2,0.000032280,True,0.000031043
6,2,0.000030481,True,0.000028973
6,2,0.000029274,True,0.000028603
6,2,0.000033247,True,0.000031724
6,2,0.000031273,True,0.000029364
6,2,0.000153820,True,0.000035426
6,2,0.000035364,True,0.000031564
6,2,0.000033752,True,0.000032538
6,2,0.000037305,True,0.000033212
6,2,0.000034097,True,0.000031472
6,2,0.000034721,True,0.000032448
6,2,0.000031455,True,0.000029834
6,2,0.000032364,True,0.000028848
6,2,0.000032808,True,0.000030083
6,2,0.000032829,True,0.000029660
6,2,0.000030304,True,0.000028908
6,2,0.000032000,True,0.000028894
6,2,0.000031189,True,0.000029465
6,2,0.000029057,True,0.000028316
6,2,0.000030543,True,0.000029124
6,2,0.000033910,True,0.000030173
6,2,0.000030294,True,0.000027743
6,2,0.000032842,True,0.000029721
6,2,0.000032177,True,0.000029713
6,2,0.000033100,True,0.000030728
6,2,0.000030126,True,0.000028435
6,2,0.000030588,True,0.000028203
6,2,0.000032562,True,0.000028956
6,2,0.000032677,True,0.000030615
6,2,0.000031771,True,0.000029826
6,2,0.000034605,True,0.000030820
6,2,0.000029641,True,0.000028545
6,2,0.000030514,True,0.000028249
6,2,0.000031330,True,0.000029304
6,2,0.000032230,True,0.000028883
6,2,0.000031049,True,0.000028709
6,2,0.000032099,True,0.000029064
6,2,0.000029643,True,0.000028179
6,2,0.000028295,True,0.000027119
6,2,0.000031782,True,0.000029401
6,2,0.000031525,True,0.000029843
6,2,0.000032867,True,0.000028432
6,2,0.000031895,True,0.000030054
6,2,0.000031860,True,0.000028825
6,2,0.000029924,True,0.000028155
6,2,0.000034534,True,0.000029798
6,2,0.000033454,True,0.000030127
6,2,0.000030727,True,0.000029594
6,2,0.000033449,True,0.000030041
6,2,0.000028872,True,0.000027742
6,2,0.000030873,True,0.000029131
6,2,0.000033283,True,0.000029754
6,2,0.000031077,True,0.000029582
6,2,0.000028559,True,0.000027796
6,2,0.000029899,True,0.000027916
6,2,0.000032510,True,0.000028873
6,2,0.000032140,True,0.000029907
6,2,0.000029924,True,0.000028572
6,2,0.000028597,True,0.000027644
6,2,0.000029890,True,0.000028263
6,2,0.000029936,True,0.000027461
6,2,0.000031884,True,0.000029302
6,2,0.000032513,True,0.000029225
6,2,0.000030850,True,0.000029331
6,2,0.000031028,True,0.000029108
6,2,0.000030928,True,0.000028805
6,2,0.000032949,True,0.000029919
6,2,0.000032351,True,0.000030351
6,2,0.000034690,True,0.000030764
6,2,0.000032300,True,0.000030134
6,2,0.000029122,True,0.000027791
6,2,0.000030632,True,0.000028236
6,2,0.000031845,True,0.000028034
6,2,0.000032174,True,0.000030618
6,2,0.000031634,True,0.000029943
6,2,0.000030574,True,0.000028826
6,2,0.000033840,True,0.000028947
6,2,0.000032181,True,0.000028616
6,2,0.000033040,True,0.000029612
6,2,0.000031527,True,0.000029840
6,2,0.000030914,True,0.000029418
6,2,0.000031022,True,0.000029841
6,2,0.000030850,True,0.000029614
6,2,0.000031608,True,0.000029470
6,2,0.000033278,True,0.000029517
6,2,0.000030817,True,0.000028661
6,2,0.000030120,True,0.000029036
6,2,0.000030046,True,0.000028492
6,2,0.000031823,True,0.000029999
6,2,0.000034547,True,0.000030233
6,2,0.000031129,True,0.000029448
6,2,0.000033456,True,0.000031177
6,2,0.000030837,True,0.000029601
6,2,0.000031177,True,0.000029340
6,2,0.000030782,True,0.000029228
6,2,0.000032277,True,0.000029566
6,2,0.000032491,True,0.000030698
6,2,0.000031317,True,0.000028444
6,2,0.000030068,True,0.000028649
6,2,0.000030989,True,0.000029992
6,2,0.000033423,True,0.000030629
6,2,0.000031718,True,0.000029928
6,2,0.000032790,True,0.000031196
6,2,0.000032368,True,0.000029955
6,2,0.000032410,True,0.000029108
6,2,0.000031064,True,0.000029265
6,2,0.000031069,True,0.000029326
6,2,0.000031170,True,0.000028995
6,2,0.000031882,True,0.000029883
6,2,0.000031488,True,0.000029135
6,2,0.000033277,True,0.000030735
6,2,0.000031730,True,0.000030088
6,2,0.000033949,True,0.000030373
6,2,0.000031008,True,0.000029428
6,2,0.000031987,True,0.000030385
6,2,0.000033913,True,0.000031200
6,2,0.000032722,True,0.000031288
6,2,0.000033733,True,0.000029819
6,2,0.000031393,True,0.000030037
6,2,0.000031738,True,0.000028912
6,2,0.000031808,True,0.000029863
6,2,0.000032679,True,0.000031596
6,2,0.000033423,True,0.000030877
6,2,0.000030425,True,0.000029209
6,2,0.000032255,True,0.000030357
6,2,0.000032006,True,0.000030090
6,2,0.000033044,True,0.000030271
6,2,0.000033479,True,0.000031139
6,2,0.000031182,True,0.000029590
6,2,0.000033536,True,0.000030496
6,2,0.000032197,True,0.000030763
6,2,0.000030666,True,0.000028995
6,2,0.000032320,True,0.000030413
6,2,0.000033165,True,0.000030689
6,2,0.000033547,True,0.000030678
6,2,0.000031533,True,0.000029756
6,2,0.000032507,True,0.000029089
6,2,0.000032694,True,0.000030280
6,2,0.000031748,True,0.000030057
6,2,0.000031262,True,0.000030019
6,2,0.000033576,True,0.000030902
6,2,0.000032485,True,0.000029954
6,2,0.000031014,True,0.000029671
6,2,0.000031810,True,0.000029528
