command,mean,stddev,median,user,system,min,max
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.10.1.graphml.cnf,0.004156458488125003,0.00251883055000209,0.003882491560000002,0.0018663412499999982,0.0012775537499999995,0.002771576060000002,0.04647781906
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.10.1.graphml.cnf,0.003534962387536233,0.0020068902900476472,0.0033386230600000013,0.0015097078260869557,0.0011051556521739139,0.002436508060000001,0.038008658060000006
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.10.10.graphml.cnf,0.014314170108157899,0.0005620036821134424,0.014347083220000003,0.011944011578947367,0.0014226194736842099,0.01246935422,0.016468387220000002
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.10.10.graphml.cnf,0.0039854760787570625,0.0009123810681556529,0.003761362219999999,0.0017609025988700544,0.0013544246327683613,0.0028288642199999995,0.01209757522
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.10.2.graphml.cnf,0.0161816276072973,0.004352231363169927,0.01539409406,0.012976390810810808,0.0017255,0.01432565056,0.05961733556000001
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.10.2.graphml.cnf,0.004662127218703068,0.0010165129226892226,0.00436149156,0.001999158498293513,0.0016603447098976103,0.0033141835599999996,0.008932437560000001
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.10.3.graphml.cnf,0.007962680129910981,0.004389521331044064,0.007039007940000001,0.0028182162611275962,0.0031740653412462914,0.003685352940000001,0.04998766494
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.10.3.graphml.cnf,0.005843806591639342,0.002935605527202055,0.005472877940000001,0.0021754080327868854,0.0021501321311475385,0.004197825940000002,0.04852851494
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.10.4.graphml.cnf,0.005125705843967614,0.0034055403920319124,0.00480928518,0.002161575546558705,0.0016829839676113369,0.00317890418,0.05652159718000001
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.10.4.graphml.cnf,0.004204585943157893,0.0008901103916636155,0.0041129571800000006,0.0016357499248120305,0.001505101954887218,0.0027101541800000012,0.00845182018
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.10.5.graphml.cnf,0.0203632322642478,0.004717597485113882,0.01984279622,0.01716055380530973,0.0017676479646017706,0.01623986422,0.06751624622
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.10.5.graphml.cnf,0.004820873241739129,0.002954205962045569,0.004481157719999999,0.0020861672463768108,0.0016030704347826082,0.002772462219999999,0.05082664722000001
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.10.6.graphml.cnf,0.020431035750708662,0.0030703177959107496,0.019868604419999998,0.01626139291338583,0.002625642519685039,0.01503407942,0.03282437542
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.10.6.graphml.cnf,0.00807069446081633,0.007180917660933957,0.006833998419999999,0.0027552102040816337,0.002659779591836734,0.004109767419999999,0.054491564420000006
