name,time_seconds,result
gl_grafo1177.16.gml.cnf,0,SAT
gl_grafo1179.17.gml.cnf,1.0,SAT
gl_grafo121.20.gml.cnf,1.0,SAT
gl_grafo122.12.gml.cnf,0,SAT
gl_grafo133.16.gml.cnf,0,SAT
gl_grafo1403.17.gml.cnf,0,SAT
gl_grafo1439.15.gml.cnf,0,SAT
gl_grafo144.12.gml.cnf,0,SAT
gl_grafo155.10.gml.cnf,0,SAT
gl_grafo1614.14.gml.cnf,0,SAT
gl_grafo1615.12.gml.cnf,0,SAT
gl_grafo1616.17.gml.cnf,1.0,SAT
gl_grafo1618.15.gml.cnf,0,SAT
gl_grafo1619.11.gml.cnf,1.0,SAT
gl_grafo1620.14.gml.cnf,0,SAT
gl_grafo1621.10.gml.cnf,0,SAT
gl_grafo1622.19.gml.cnf,0,SAT
gl_grafo1625.19.gml.cnf,1.0,SAT
gl_grafo1626.18.gml.cnf,0,SAT
gl_grafo1627.10.gml.cnf,0,SAT
gl_grafo1629.11.gml.cnf,0,SAT
gl_grafo1631.16.gml.cnf,1.0,SAT
gl_grafo1633.17.gml.cnf,1.0,SAT
gl_grafo1634.17.gml.cnf,0,SAT
gl_grafo1635.16.gml.cnf,1.0,SAT
gl_grafo1636.11.gml.cnf,0,SAT
gl_grafo1639.14.gml.cnf,1.0,SAT
gl_grafo1640.17.gml.cnf,0,SAT
gl_grafo1642.18.gml.cnf,2.0,SAT
gl_grafo1643.10.gml.cnf,0,SAT
gl_grafo1644.18.gml.cnf,0,SAT
gl_grafo1648.18.gml.cnf,0,SAT
gl_grafo1649.20.gml.cnf,1.0,SAT
gl_grafo1651.20.gml.cnf,1.0,SAT
gl_grafo1652.18.gml.cnf,0,SAT
gl_grafo1653.18.gml.cnf,3.0,SAT
gl_grafo1654.10.gml.cnf,0,SAT
gl_grafo1656.17.gml.cnf,0,SAT
gl_grafo1657.10.gml.cnf,0,SAT
gl_grafo1658.14.gml.cnf,0,SAT
gl_grafo1659.11.gml.cnf,0,SAT
gl_grafo166.10.gml.cnf,0,SAT
gl_grafo1660.19.gml.cnf,3.0,SAT
gl_grafo1661.19.gml.cnf,1.0,SAT
gl_grafo1662.14.gml.cnf,0,SAT
gl_grafo1665.17.gml.cnf,3.0,SAT
gl_grafo1666.19.gml.cnf,1.0,SAT
gl_grafo1670.16.gml.cnf,0,SAT
gl_grafo1671.17.gml.cnf,2.0,SAT
