n,m,time(s),sat
5,0,0.000033710,True
5,1,0.000033870,True
5,1,0.000031034,True
5,1,0.000039457,True
5,1,0.000045227,True
5,1,0.000039898,True
5,1,0.000043528,True
5,1,0.000042188,True
5,1,0.000042166,True
5,1,0.000040052,True
5,1,0.000037453,True
5,1,0.000038663,True
5,1,0.000041440,True
5,1,0.000044329,True
5,1,0.000042188,True
5,1,0.000047913,True
5,1,0.000046483,True
5,1,0.000042471,True
5,1,0.000043599,True
5,1,0.000036919,True
5,1,0.000040495,True
5,2,0.000040224,True
5,2,0.000040491,True
5,2,0.000034690,True
5,2,0.000039903,True
5,2,0.000037436,True
5,2,0.000035817,True
5,2,0.000034941,True
5,2,0.000039818,True
5,2,0.000037875,True
5,2,0.000035658,True
5,2,0.000034770,True
5,2,0.000038586,True
5,2,0.000041354,True
5,2,0.000033979,True
5,2,0.000035541,True
5,2,0.000041163,True
5,2,0.000036212,True
5,2,0.000038519,True
5,2,0.000043099,True
5,2,0.000044612,True
5,2,0.000064838,True
5,2,0.000023838,True
5,2,0.000025524,True
5,2,0.000026714,True
5,2,0.000024082,True
5,2,0.000022617,True
5,2,0.000026419,True
5,2,0.000024874,True
5,2,0.000025098,True
5,2,0.000025056,True
5,2,0.000024986,True
5,2,0.000026017,True
5,2,0.000024467,True
5,2,0.000025548,True
5,2,0.000026543,True
5,2,0.000023794,True
5,2,0.000027122,True
5,2,0.000027460,True
5,2,0.000023922,True
5,2,0.000028094,True
5,2,0.000026079,True
5,2,0.000029224,True
5,2,0.000028170,True
5,2,0.000026153,True
5,2,0.000028192,True
5,2,0.000028672,True
5,2,0.000026371,True
5,2,0.000028288,True
5,2,0.000029739,True
5,2,0.000030227,True
5,2,0.000025251,True
5,2,0.000026147,True
5,2,0.000025470,True
5,2,0.000029858,True
5,2,0.000026281,True
5,2,0.000025666,True
5,2,0.000027691,True
5,2,0.000027833,True
5,2,0.000024555,True
5,2,0.000027344,True
5,2,0.000025472,True
5,2,0.000025735,True
5,2,0.000026092,True
5,2,0.000026066,True
5,2,0.000025516,True
5,2,0.000025817,True
5,2,0.000024919,True
5,2,0.000027707,True
5,2,0.000022844,True
5,2,0.000025097,True
5,2,0.000025327,True
5,2,0.000028627,True
5,2,0.000025099,True
