n,m,time(s),sat
5,3,0.000033056,True
5,3,0.000028002,True
5,3,0.000033343,True
5,3,0.000026836,True
5,3,0.000027593,True
5,3,0.000030069,True
5,3,0.000028950,True
5,3,0.000027403,True
5,3,0.000032084,True
5,3,0.000030144,True
5,3,0.000030822,True
5,3,0.000026323,True
5,3,0.000028189,True
5,3,0.000025333,True
5,3,0.000027535,True
5,3,0.000033239,True
5,3,0.000029146,True
5,3,0.000029929,True
5,3,0.000033020,True
5,3,0.000031455,True
5,3,0.000027875,True
5,3,0.000029719,True
5,3,0.000028195,True
5,3,0.000024958,True
5,3,0.000029949,True
5,3,0.000024532,True
5,3,0.000027856,True
5,3,0.000025317,True
5,3,0.000023932,True
5,3,0.000024050,True
5,3,0.000025972,True
5,3,0.000023335,True
5,3,0.000025277,True
5,3,0.000023401,True
5,3,0.000028354,True
5,3,0.000025337,True
5,3,0.000028633,True
5,3,0.000027695,True
5,3,0.000024587,True
5,3,0.000029629,True
5,3,0.000025373,True
5,3,0.000027783,True
5,3,0.000026318,True
5,3,0.000026145,True
5,3,0.000026564,True
5,3,0.000026069,True
5,3,0.000176566,True
5,3,0.000032412,True
5,3,0.000032717,True
5,3,0.000032196,True
5,3,0.000038943,True
5,3,0.000038787,True
5,3,0.000029822,True
5,3,0.000036937,True
5,3,0.000043210,True
5,3,0.000052118,True
5,3,0.000038679,True
5,3,0.000031106,True
5,3,0.000034740,True
5,3,0.000033141,True
5,3,0.000031290,True
5,3,0.000034643,True
5,3,0.000030460,True
5,3,0.000033583,True
5,3,0.000031842,True
5,3,0.000031222,True
5,3,0.000029976,True
5,3,0.000031151,True
5,3,0.000030470,True
5,3,0.000028469,True
5,3,0.000029440,True
5,3,0.000029111,True
5,3,0.000031246,True
5,3,0.000029640,True
5,3,0.000030170,True
5,3,0.000026765,True
5,3,0.000025126,True
5,3,0.000024736,True
5,3,0.000027487,True
5,3,0.000030317,True
5,3,0.000031294,True
5,3,0.000031196,True
5,3,0.000029402,True
5,3,0.000031091,True
5,3,0.000031291,True
5,3,0.000029817,True
5,3,0.000028240,True
5,3,0.000030849,True
5,3,0.000025850,True
5,3,0.000029267,True
5,3,0.000030669,True
5,3,0.000026388,True
5,3,0.000033722,True
5,3,0.000031636,True
5,3,0.000032157,True
5,3,0.000032977,True
5,3,0.000027574,True
5,3,0.000028262,True
5,3,0.000026974,True
5,3,0.000026746,True
5,3,0.000029429,True
5,3,0.000025997,True
5,3,0.000026739,True
5,3,0.000025185,True
5,3,0.000023645,True
5,3,0.000025128,True
5,3,0.000025815,True
5,3,0.000023855,True
5,3,0.000026931,True
5,3,0.000025035,True
5,3,0.000026757,True
5,3,0.000023287,True
5,3,0.000027752,True
5,3,0.000024612,True
5,3,0.000027872,True
5,3,0.000025921,True
5,3,0.000029676,True
5,3,0.000025700,True
5,3,0.000028926,True
5,3,0.000025738,True
5,3,0.000024621,True
5,3,0.000025495,True
5,3,0.000023439,True
5,3,0.000029590,True
5,3,0.000026390,True
5,3,0.000025538,True
5,3,0.000025958,True
5,3,0.000027282,True
5,3,0.000027026,True
5,3,0.000023641,True
5,3,0.000027757,True
5,3,0.000031385,True
5,3,0.000026287,True
5,3,0.000028107,True
5,3,0.000025007,True
5,3,0.000025794,True
5,3,0.000026072,True
5,3,0.000025510,True
5,3,0.000053380,True
5,3,0.000029174,True
5,3,0.000029661,True
5,3,0.000026911,True
5,3,0.000030300,True
5,3,0.000028996,True
5,3,0.000028085,True
5,3,0.000034033,True
5,3,0.000031634,True
5,3,0.000044462,True
5,3,0.000041672,True
5,3,0.000036549,True
5,3,0.000032518,True
5,3,0.000049692,True
