n,vars,clauses
2, 20, 64
3, 126, 1024
4, 444, 5776
5, 1160, 20968
6, 2520, 59536
7, 4830, 143944
8, 8456, 310144
9, 13824, 612256
10, 21420, 1127968
11, 31790, 1964656
12, 45540, 3266224
13, 63336, 5220664
14, 85904, 8068336
15, 114030, 12110968
16, 148560, 17721376
17, 190400, 25353904
18, 240516, 35555584
19, 299934, 48978016
20, 369740, 66389968
21, 451080, 88690696
22, 545160, 116923984
23, 653246, 152292904
24, 776664, 196175296
25, 916800, 250139968
26, 1075100, 315963616
27, 1253070, 395648464
28, 1452276, 491440624
