n,m,time(s),sat
5,0,0.000041156,True
5,1,0.000039136,True
5,1,0.000043772,True
5,1,0.000050067,True
5,1,0.000044291,True
5,1,0.000045352,True
5,1,0.000038428,True
5,1,0.000046796,True
5,1,0.000047136,True
5,1,0.000042303,True
5,1,0.000045320,True
5,1,0.000045070,True
5,1,0.000041842,True
5,1,0.000040637,True
5,1,0.000039234,True
5,1,0.000043412,True
5,1,0.000042727,True
5,1,0.000042916,True
5,1,0.000037510,True
5,1,0.000038722,True
5,1,0.000041916,True
5,2,0.000041148,True
5,2,0.000041833,True
5,2,0.000037798,True
5,2,0.000041420,True
5,2,0.000042243,True
5,2,0.000049088,True
5,2,0.000045411,True
5,2,0.000046987,True
5,2,0.000045731,True
5,2,0.000048025,True
5,2,0.000040212,True
5,2,0.000045784,True
5,2,0.000038546,True
5,2,0.000051948,True
5,2,0.000041340,True
5,2,0.000038779,True
5,2,0.000039598,True
5,2,0.000038026,True
5,2,0.000041840,True
5,2,0.000040953,True
5,2,0.000082545,True
5,2,0.000024970,True
5,2,0.000023500,True
5,2,0.000025698,True
5,2,0.000024424,True
5,2,0.000026026,True
5,2,0.000024768,True
5,2,0.000027803,True
5,2,0.000026586,True
5,2,0.000025601,True
5,2,0.000027645,True
5,2,0.000023969,True
5,2,0.000029992,True
5,2,0.000024527,True
5,2,0.000024752,True
5,2,0.000026873,True
5,2,0.000026202,True
5,2,0.000026210,True
5,2,0.000027272,True
5,2,0.000028858,True
5,2,0.000025622,True
5,2,0.000030587,True
5,2,0.000032145,True
5,2,0.000026556,True
5,2,0.000031338,True
5,2,0.000026818,True
5,2,0.000025746,True
5,2,0.000026958,True
5,2,0.000028772,True
5,2,0.000028052,True
5,2,0.000026442,True
5,2,0.000045201,True
5,2,0.000029720,True
5,2,0.000028829,True
5,2,0.000025243,True
5,2,0.000027138,True
5,2,0.000029224,True
5,2,0.000027066,True
5,2,0.000025378,True
5,2,0.000027488,True
5,2,0.000028906,True
5,2,0.000026912,True
5,2,0.000028097,True
5,2,0.000026514,True
5,2,0.000026089,True
5,2,0.000025831,True
5,2,0.000027739,True
5,2,0.000024615,True
5,2,0.000026947,True
5,2,0.000024414,True
5,2,0.000026476,True
5,2,0.000026354,True
5,2,0.000024478,True
5,2,0.000027487,True
5,2,0.000030675,True
5,2,0.000027933,True
5,2,0.000027212,True
5,2,0.000027257,True
5,2,0.000026604,True
5,2,0.000029013,True
5,2,0.000029239,True
5,2,0.000027572,True
5,2,0.000029733,True
5,2,0.000026427,True
5,2,0.000026643,True
5,2,0.000024256,True
5,2,0.000029459,True
5,2,0.000029811,True
5,2,0.000026116,True
5,2,0.000028094,True
5,2,0.000027717,True
5,2,0.000028008,True
5,2,0.000025017,True
5,2,0.000026781,True
5,2,0.000026013,True
5,2,0.000025923,True
5,2,0.000025066,True
5,2,0.000025968,True
5,2,0.000024848,True
5,2,0.000028335,True
5,2,0.000028949,True
5,2,0.000024742,True
5,2,0.000028836,True
5,2,0.000029178,True
5,2,0.000027738,True
5,2,0.000029267,True
5,2,0.000028306,True
5,2,0.000025372,True
5,2,0.000029143,True
5,2,0.000025432,True
5,2,0.000027800,True
5,2,0.000025977,True
5,2,0.000027991,True
5,2,0.000025189,True
5,2,0.000029577,True
5,2,0.000024434,True
5,2,0.000025368,True
5,2,0.000028641,True
5,2,0.000028439,True
5,2,0.000023577,True
5,2,0.000025801,True
5,2,0.000025822,True
5,2,0.000026336,True
5,2,0.000027091,True
5,2,0.000026007,True
5,2,0.000027226,True
5,2,0.000027843,True
5,2,0.000028412,True
5,2,0.000027554,True
5,2,0.000024040,True
5,2,0.000025324,True
5,2,0.000026082,True
5,2,0.000025062,True
5,2,0.000028860,True
5,2,0.000027554,True
5,2,0.000025416,True
5,2,0.000024853,True
5,2,0.000028872,True
5,2,0.000024718,True
5,2,0.000028990,True
5,2,0.000024362,True
5,2,0.000029502,True
5,2,0.000034605,True
5,2,0.000025796,True
5,2,0.000027792,True
5,2,0.000028586,True
5,2,0.000024765,True
5,2,0.000027786,True
5,2,0.000025807,True
5,2,0.000024413,True
5,2,0.000027615,True
5,2,0.000024470,True
5,2,0.000028034,True
5,2,0.000025865,True
5,2,0.000027406,True
5,2,0.000027594,True
5,2,0.000026787,True
5,2,0.000025109,True
5,2,0.000027422,True
5,2,0.000023668,True
5,2,0.000029331,True
5,2,0.000025456,True
5,2,0.000026016,True
5,2,0.000026792,True
5,2,0.000025960,True
5,2,0.000028287,True
5,2,0.000024125,True
5,2,0.000027064,True
5,2,0.000025611,True
5,2,0.000025248,True
5,2,0.000023014,True
5,2,0.000028204,True
5,2,0.000024364,True
5,2,0.000025255,True
5,2,0.000027070,True
5,2,0.000024824,True
5,2,0.000027586,True
5,2,0.000025195,True
5,2,0.000025713,True
5,2,0.000025257,True
5,3,0.000024837,True
5,3,0.000130580,True
5,3,0.000054854,True
5,3,0.000027096,True
5,3,0.000028058,True
5,3,0.000026572,True
5,3,0.000028308,True
5,3,0.000025782,True
5,3,0.000027600,True
5,3,0.000027977,True
5,3,0.000028752,True
5,3,0.000027633,True
5,3,0.000024172,True
5,3,0.000030584,True
5,3,0.000028131,True
5,3,0.000028389,True
5,3,0.000027477,True
5,3,0.000028729,True
5,3,0.000025474,True
5,3,0.000027178,True
5,3,0.000027113,True
5,3,0.000026961,True
5,3,0.000026831,True
5,3,0.000028569,True
5,3,0.000026479,True
5,3,0.000028572,True
5,3,0.000029289,True
5,3,0.000025391,True
5,3,0.000028760,True
5,3,0.000027710,True
5,3,0.000024926,True
5,3,0.000030923,True
5,3,0.000027324,True
5,3,0.000027007,True
5,3,0.000029076,True
5,3,0.000027034,True
5,3,0.000030757,True
5,3,0.000028446,True
5,3,0.000027432,True
5,3,0.000025389,True
5,3,0.000028845,True
5,3,0.000030495,True
5,3,0.000024535,True
5,3,0.000030375,True
5,3,0.000029519,True
5,3,0.000027298,True
5,3,0.000024964,True
5,3,0.000026762,True
5,3,0.000023815,True
5,3,0.000030941,True
5,3,0.000027380,True
5,3,0.000031249,True
5,3,0.000033692,True
5,3,0.000033256,True
5,3,0.000027358,True
5,3,0.000026813,True
5,3,0.000030111,True
5,3,0.000029429,True
5,3,0.000030339,True
5,3,0.000029164,True
5,3,0.000030107,True
5,3,0.000029712,True
5,3,0.000027629,True
5,3,0.000077946,True
5,3,0.000041524,True
5,3,0.000042824,True
5,3,0.000047724,True
5,3,0.000060216,True
5,3,0.000050749,True
5,3,0.000031424,True
5,3,0.000033434,True
5,3,0.000031489,True
5,3,0.000031634,True
5,3,0.000030236,True
5,3,0.000033605,True
5,3,0.000031631,True
5,3,0.000031472,True
5,3,0.000028516,True
5,3,0.000025442,True
5,3,0.000028664,True
5,3,0.000026474,True
5,3,0.000025454,True
5,3,0.000028560,True
5,3,0.000025733,True
5,3,0.000026051,True
5,3,0.000026325,True
5,3,0.000024210,True
5,3,0.000024799,True
5,3,0.000027764,True
5,3,0.000027580,True
5,3,0.000024336,True
5,3,0.000029246,True
5,3,0.000041737,True
5,3,0.000026681,True
5,3,0.000031428,True
5,3,0.000027918,True
5,3,0.000031470,True
5,3,0.000026504,True
5,3,0.000027452,True
5,3,0.000030418,True
5,3,0.000029544,True
5,3,0.000040150,True
5,3,0.000027300,True
5,3,0.000028900,True
5,3,0.000030037,True
5,3,0.000032826,True
5,3,0.000027451,True
