n,m,time(s),sat,median_time(s)
5,2,0.000018747,True,0.000017459
5,2,0.000019315,True,0.000017930
5,2,0.000019520,True,0.000018036
5,2,0.000019796,True,0.000018326
5,2,0.000017369,True,0.000016946
5,2,0.000031411,True,0.000017407
5,2,0.000018312,True,0.000017264
5,2,0.000018101,True,0.000017661
5,2,0.000018916,True,0.000017788
5,2,0.000018412,True,0.000017752
5,2,0.000018322,True,0.000017114
5,2,0.000018349,True,0.000017118
5,2,0.000018643,True,0.000017787
5,2,0.000018968,True,0.000017890
5,2,0.000018970,True,0.000017826
5,2,0.000018641,True,0.000017405
5,2,0.000018311,True,0.000017405
5,2,0.000018223,True,0.000017233
5,2,0.000017851,True,0.000017018
5,2,0.000018218,True,0.000017139
5,2,0.000017989,True,0.000017231
5,2,0.000018994,True,0.000017665
5,2,0.000017808,True,0.000017285
5,2,0.000024983,True,0.000017010
5,2,0.000018028,True,0.000017022
5,3,0.000019008,True,0.000017574
5,3,0.000017749,True,0.000017005
5,3,0.000018295,True,0.000017423
5,3,0.000020007,True,0.000018527
5,3,0.000019450,True,0.000018213
5,3,0.000018629,True,0.000017280
5,3,0.000019518,True,0.000018128
5,3,0.000018604,True,0.000017797
5,3,0.000018253,True,0.000017475
5,3,0.000019732,True,0.000018348
5,3,0.000018845,True,0.000017980
5,3,0.000020080,True,0.000018720
5,3,0.000018808,True,0.000017640
5,3,0.000019231,True,0.000017923
5,3,0.000019054,True,0.000017643
5,3,0.000019790,True,0.000018683
5,3,0.000018216,True,0.000017542
5,3,0.000021426,True,0.000019222
5,3,0.000018426,True,0.000017199
5,3,0.000025190,True,0.000021964
5,3,0.000021148,True,0.000021108
5,3,0.000020327,True,0.000018610
5,3,0.000021621,True,0.000022037
5,3,0.000021235,True,0.000019811
5,3,0.000019476,True,0.000018194
5,3,0.000023848,True,0.000022709
5,3,0.000023562,True,0.000022083
5,3,0.000022724,True,0.000021756
5,3,0.000021869,True,0.000021813
5,3,0.000023363,True,0.000022902
5,3,0.000022939,True,0.000018790
5,3,0.000028128,True,0.000025534
5,3,0.000024537,True,0.000023051
5,3,0.000019372,True,0.000019426
5,3,0.000021661,True,0.000021195
5,3,0.000026535,True,0.000025199
5,3,0.000024350,True,0.000023242
5,3,0.000020957,True,0.000020907
5,3,0.000020021,True,0.000018264
5,3,0.000021791,True,0.000021627
5,3,0.000027332,True,0.000022642
5,3,0.000022867,True,0.000022013
5,3,0.000018550,True,0.000017098
5,3,0.000020154,True,0.000018449
5,3,0.000019660,True,0.000018208
5,3,0.000019723,True,0.000018294
5,3,0.000018324,True,0.000016846
5,3,0.000019546,True,0.000018183
5,3,0.000019591,True,0.000018753
5,3,0.000019750,True,0.000018571
5,3,0.000021916,True,0.000020677
5,3,0.000025815,True,0.000021833
5,3,0.000027068,True,0.000022739
5,3,0.000024067,True,0.000022368
5,3,0.000022701,True,0.000020923
5,3,0.000023927,True,0.000021715
5,3,0.000024447,True,0.000022897
5,3,0.000024599,True,0.000021594
5,3,0.000024815,True,0.000023425
5,3,0.000019476,True,0.000017954
5,3,0.000019608,True,0.000018202
5,3,0.000021084,True,0.000020466
5,3,0.000021370,True,0.000021203
5,3,0.000020000,True,0.000019469
5,3,0.000019952,True,0.000018360
5,3,0.000021698,True,0.000020760
5,3,0.000025686,True,0.000023536
5,3,0.000024908,True,0.000021289
5,3,0.000028283,True,0.000023289
5,3,0.000020897,True,0.000020530
5,3,0.000023999,True,0.000023612
5,3,0.000021385,True,0.000020694
5,3,0.000023494,True,0.000022229
5,3,0.000021286,True,0.000020227
5,3,0.000023668,True,0.000022659
5,3,0.000023876,True,0.000021751
5,3,0.000020258,True,0.000019547
5,3,0.000019408,True,0.000018021
5,3,0.000019547,True,0.000018195
5,3,0.000019125,True,0.000018189
5,3,0.000020054,True,0.000018592
5,3,0.000018905,True,0.000017810
5,3,0.000019622,True,0.000018646
5,3,0.000019775,True,0.000018366
5,3,0.000020370,True,0.000019076
5,3,0.000027540,True,0.000021942
5,3,0.000020813,True,0.000021016
5,3,0.000020280,True,0.000018412
5,3,0.000022876,True,0.000022444
5,3,0.000024906,True,0.000022489
5,3,0.000020530,True,0.000020588
5,3,0.000023490,True,0.000022491
5,3,0.000022044,True,0.000021235
5,3,0.000020765,True,0.000020630
5,3,0.000020468,True,0.000018899
5,3,0.000019197,True,0.000017894
5,3,0.000018618,True,0.000017161
5,3,0.000018437,True,0.000017355
5,3,0.000020266,True,0.000018879
5,3,0.000019683,True,0.000018468
5,3,0.000023286,True,0.000018657
5,3,0.000019164,True,0.000018170
5,3,0.000021271,True,0.000020973
5,3,0.000025180,True,0.000023371
5,3,0.000022610,True,0.000022027
5,3,0.000021547,True,0.000021525
5,3,0.000027116,True,0.000024635
5,3,0.000024537,True,0.000023219
5,3,0.000020943,True,0.000020544
5,3,0.000021952,True,0.000021435
5,3,0.000020806,True,0.000020877
5,3,0.000020979,True,0.000018892
5,3,0.000021632,True,0.000021010
5,3,0.000020226,True,0.000018723
5,3,0.000018374,True,0.000017230
5,3,0.000021814,True,0.000021678
5,3,0.000019798,True,0.000018381
5,3,0.000022468,True,0.000021534
5,3,0.000024016,True,0.000021668
5,3,0.000022977,True,0.000022419
5,3,0.000024189,True,0.000022285
5,3,0.000022798,True,0.000021915
5,3,0.000019216,True,0.000017696
5,3,0.000024437,True,0.000022404
