n, m, time(s)
4, 4, 0.000068886
4, 4, 0.000070884
4, 4, 0.000069750
4, 4, 0.000068394
4, 4, 0.000092515
4, 4, 0.000075613
4, 4, 0.000074758
4, 4, 0.000089840
4, 4, 0.000077056
4, 4, 0.000073712
4, 4, 0.000072010
4, 4, 0.000084024
4, 4, 0.000098244
4, 4, 0.000127239
4, 4, 0.000090663
4, 4, 0.000091574
4, 4, 0.000078868
4, 4, 0.000086356
4, 4, 0.000081588
4, 4, 0.000074911
4, 4, 0.000072915
4, 4, 0.000075287
4, 4, 0.000074232
4, 4, 0.000072698
4, 4, 0.000070833
4, 4, 0.000069786
4, 4, 0.000077871
4, 4, 0.000071157
4, 4, 0.000073900
4, 4, 0.000072686
4, 4, 0.000074185
4, 4, 0.000073457
4, 4, 0.000071869
4, 4, 0.000071258
4, 4, 0.000078093
4, 4, 0.000096963
4, 4, 0.000090371
4, 4, 0.000078352
4, 4, 0.000091441
4, 4, 0.000079489
4, 4, 0.000085066
4, 4, 0.000091215
4, 4, 0.000089457
4, 4, 0.000112736
4, 4, 0.000129829
4, 4, 0.000094300
4, 4, 0.000082839
4, 4, 0.000079044
4, 4, 0.000093385
4, 4, 0.000079576
4, 4, 0.000079560
4, 4, 0.000077354
4, 4, 0.000080340
4, 4, 0.000082563
4, 4, 0.000076064
4, 4, 0.000074585
4, 4, 0.000073885
4, 4, 0.000075518
4, 4, 0.000078995
4, 4, 0.000073830
4, 4, 0.000075081
4, 4, 0.000074167
4, 4, 0.000071410
4, 4, 0.000069655
4, 4, 0.000075569
4, 4, 0.000073603
4, 4, 0.000072040
4, 4, 0.000069782
4, 4, 0.000071545
4, 4, 0.000069450
4, 4, 0.000069092
4, 4, 0.000108886
4, 4, 0.000081500
4, 4, 0.000075256
4, 4, 0.000075183
4, 4, 0.000069886
4, 4, 0.000068316
4, 4, 0.000093085
4, 4, 0.000098103
4, 4, 0.000080702
4, 4, 0.000079917
4, 4, 0.000116706
4, 4, 0.000085135
4, 4, 0.000089787
4, 4, 0.000078664
4, 4, 0.000080026
4, 4, 0.000075900
4, 4, 0.000125109
4, 4, 0.000138058
4, 4, 0.000092613
4, 4, 0.000083196
4, 4, 0.000117725
4, 4, 0.000089673
4, 4, 0.000076615
4, 4, 0.000076506
4, 4, 0.000071943
4, 4, 0.000078000
4, 4, 0.000070702
4, 4, 0.000070748
4, 4, 0.000075674
4, 4, 0.000070917
4, 4, 0.000072203
4, 4, 0.000069165
4, 4, 0.000068380
4, 4, 0.000067757
4, 4, 0.000075081
4, 4, 0.000070152
4, 4, 0.000068501
4, 4, 0.000068742
4, 4, 0.000068174
4, 4, 0.000079824
4, 4, 0.000087421
4, 4, 0.000075898
4, 4, 0.000079948
4, 4, 0.000078292
4, 4, 0.000077479
4, 4, 0.000070510
4, 4, 0.000070363
4, 4, 0.000074640
4, 4, 0.000071546
4, 4, 0.000072355
4, 4, 0.000072445
4, 4, 0.000074212
4, 4, 0.000091789
4, 4, 0.000074009
4, 4, 0.000070118
4, 4, 0.000070385
4, 4, 0.000070437
4, 4, 0.000072136
4, 4, 0.000090947
4, 4, 0.000077949
4, 4, 0.000075743
4, 4, 0.000074178
4, 4, 0.000075665
4, 4, 0.000072554
4, 4, 0.000071676
4, 4, 0.000071405
4, 4, 0.000074486
4, 4, 0.000072909
4, 4, 0.000079041
4, 4, 0.000073440
4, 4, 0.000071825
4, 4, 0.000072091
4, 4, 0.000072277
4, 4, 0.000070921
4, 4, 0.000074487
4, 5, 0.000081814
4, 5, 0.000078910
4, 5, 0.000093479
4, 5, 0.000079772
4, 5, 0.000106509
4, 5, 0.000085880
4, 5, 0.000095070
4, 5, 0.000096444
4, 5, 0.000083156
4, 5, 0.000078657
4, 5, 0.000124904
4, 5, 0.000178946
4, 5, 0.000101856
4, 5, 0.000106527
4, 5, 0.000092439
4, 5, 0.000080505
4, 5, 0.000081391
4, 5, 0.000086861
4, 5, 0.000095666
4, 5, 0.000123032
4, 5, 0.000095139
4, 5, 0.000092613
4, 5, 0.000099861
4, 5, 0.000083392
4, 5, 0.000083346
4, 5, 0.000081188
4, 5, 0.000079965
4, 5, 0.000075537
4, 5, 0.000077604
4, 5, 0.000077497
4, 5, 0.000075117
4, 5, 0.000075328
4, 5, 0.000073723
4, 5, 0.000075253
4, 5, 0.000074847
4, 5, 0.000082029
4, 5, 0.000076034
4, 5, 0.000077050
4, 5, 0.000076106
4, 5, 0.000079754
4, 5, 0.000075138
4, 5, 0.000081402
4, 5, 0.000075010
4, 5, 0.000071928
4, 5, 0.000201072
4, 5, 0.000085074
4, 5, 0.000083549
4, 5, 0.000080127
4, 5, 0.000078588
4, 5, 0.000075038
4, 5, 0.000073994
4, 5, 0.000092676
4, 5, 0.000079738
4, 5, 0.000083522
4, 5, 0.000088575
4, 5, 0.000078015
4, 5, 0.000078950
4, 5, 0.000079358
4, 5, 0.000084571
4, 5, 0.000080228
4, 5, 0.000080693
4, 5, 0.000078328
4, 5, 0.000080527
4, 5, 0.000078081
4, 5, 0.000075793
4, 5, 0.000077679
4, 5, 0.000076509
4, 5, 0.000083167
4, 5, 0.000086280
4, 5, 0.000097965
4, 5, 0.000084946
4, 5, 0.000081504
4, 5, 0.000079867
4, 5, 0.000076418
4, 5, 0.000098958
4, 5, 0.000081450
4, 5, 0.000078047
4, 5, 0.000078752
4, 5, 0.000079996
4, 5, 0.000078373
4, 5, 0.000075563
4, 5, 0.000074917
4, 5, 0.000075825
4, 5, 0.000075061
4, 5, 0.000075856
4, 5, 0.000076618
4, 5, 0.000075020
4, 5, 0.000104361
4, 5, 0.000090036
4, 5, 0.000173914
4, 5, 0.000169762
4, 5, 0.000092863
4, 5, 0.000080904
4, 5, 0.000081894
4, 5, 0.000108928
4, 5, 0.000154521
4, 5, 0.000110004
4, 5, 0.000099699
4, 5, 0.000085939
4, 5, 0.000091601
4, 5, 0.000082697
4, 5, 0.000080652
4, 5, 0.000083960
4, 5, 0.000077122
4, 5, 0.000075758
4, 5, 0.000078622
4, 5, 0.000080508
4, 5, 0.000078721
4, 6, 0.000096059
4, 6, 0.000085281
4, 6, 0.000154597
4, 6, 0.000104818
4, 6, 0.000120219
4, 6, 0.000113671
4, 6, 0.000096949
4, 6, 0.000087239
4, 6, 0.000094358
4, 6, 0.000093884
4, 6, 0.000097288
4, 6, 0.000360430
4, 6, 0.000100823
4, 6, 0.000085902
4, 6, 0.000084910
4, 6, 0.000085529
4, 6, 0.000082692
4, 6, 0.000100250
4, 6, 0.000089978
4, 6, 0.000095463
4, 6, 0.000087125
4, 6, 0.000092417
4, 6, 0.000091387
4, 6, 0.000086068
