n,m,time(s)
5, 3, 0.000136838
5, 3, 0.000112323
5, 3, 0.000106977
5, 3, 0.000107290
5, 3, 0.000112924
5, 3, 0.000117073
5, 3, 0.000113435
5, 3, 0.000110361
5, 3, 0.000120322
5, 3, 0.000120270
5, 3, 0.000239960
5, 3, 0.000126532
5, 3, 0.000126433
5, 3, 0.000115283
5, 3, 0.000115740
5, 3, 0.000126123
5, 3, 0.000121253
5, 3, 0.000118546
5, 3, 0.000116287
5, 3, 0.000108936
5, 3, 0.000120045
5, 3, 0.000118204
5, 3, 0.000112438
5, 3, 0.000108183
5, 3, 0.000112410
5, 3, 0.000118625
5, 3, 0.000106831
5, 3, 0.000111845
5, 3, 0.000107230
5, 3, 0.000111793
5, 3, 0.000117215
5, 3, 0.000111544
5, 3, 0.000111131
5, 3, 0.000112318
5, 3, 0.000106765
5, 3, 0.000119879
5, 3, 0.000139806
5, 3, 0.000118938
5, 3, 0.000111193
5, 3, 0.000120452
5, 3, 0.000266721
5, 3, 0.000361195
5, 3, 0.000375711
5, 3, 0.000173091
5, 3, 0.000150669
5, 3, 0.000130789
5, 3, 0.000125173
5, 3, 0.000117828
5, 3, 0.000135641
5, 3, 0.000126801
5, 3, 0.000137305
5, 3, 0.000183323
5, 3, 0.000134900
5, 3, 0.000191064
5, 3, 0.000151946
5, 3, 0.000146159
5, 3, 0.000138098
5, 3, 0.000134653
5, 3, 0.000129011
5, 3, 0.000127255
5, 3, 0.000128248
5, 3, 0.000116909
5, 3, 0.000119651
5, 3, 0.000126743
5, 3, 0.000120987
5, 3, 0.000114474
5, 3, 0.000120157
5, 3, 0.000124391
5, 3, 0.000162038
5, 3, 0.000130865
5, 3, 0.000131442
5, 3, 0.000128689
5, 3, 0.000128032
5, 3, 0.000130045
5, 3, 0.000126957
5, 3, 0.000124993
5, 3, 0.000131928
5, 3, 0.000127266
5, 3, 0.000123322
5, 3, 0.000123229
5, 3, 0.000120827
5, 3, 0.000116322
5, 3, 0.000118687
5, 3, 0.000139915
5, 3, 0.000121868
5, 3, 0.000128289
5, 3, 0.000135403
5, 3, 0.000149017
5, 3, 0.000152156
5, 3, 0.000123371
5, 3, 0.000122896
5, 3, 0.000118988
5, 3, 0.000135687
5, 3, 0.000204255
5, 3, 0.000136975
5, 3, 0.000119424
5, 3, 0.000124847
5, 3, 0.000120594
5, 3, 0.000120749
5, 3, 0.000119425
5, 3, 0.000118068
5, 3, 0.000134737
5, 3, 0.000132719
5, 3, 0.000124088
5, 3, 0.000115408
5, 3, 0.000128561
5, 3, 0.000158532
5, 3, 0.000126940
5, 3, 0.000120985
5, 3, 0.000121879
5, 3, 0.000119568
5, 3, 0.000115228
5, 3, 0.000119685
5, 3, 0.000120013
5, 3, 0.000125309
5, 3, 0.000119073
5, 3, 0.000113837
5, 3, 0.000126268
5, 3, 0.000118723
5, 3, 0.000113181
5, 3, 0.000120148
5, 3, 0.000111280
5, 3, 0.000120139
5, 3, 0.000135098
5, 3, 0.000137616
5, 3, 0.000131396
5, 3, 0.000125884
5, 3, 0.000161198
5, 3, 0.000221491
5, 3, 0.000137404
5, 3, 0.000146667
5, 3, 0.000208401
5, 3, 0.000131507
5, 3, 0.000136506
5, 3, 0.000126624
5, 3, 0.000126765
5, 3, 0.000120110
5, 3, 0.000112365
5, 3, 0.000126248
5, 3, 0.000112137
5, 3, 0.000117294
5, 3, 0.000116783
5, 3, 0.000114558
5, 3, 0.000113836
5, 3, 0.000110577
5, 3, 0.000120956
5, 3, 0.000119140
5, 3, 0.000119799
5, 3, 0.000110817
5, 3, 0.000113537
5, 3, 0.000114930
5, 3, 0.000141131
5, 3, 0.000122464
5, 3, 0.000119447
5, 3, 0.000112477
5, 3, 0.000115743
5, 3, 0.000123834
5, 3, 0.000168631
5, 3, 0.000137853
5, 3, 0.000126341
5, 3, 0.000126376
5, 3, 0.000129094
5, 3, 0.000118492
5, 3, 0.000127117
5, 3, 0.000128804
5, 3, 0.000124110
5, 3, 0.000119660
5, 3, 0.000124632
5, 3, 0.000116482
5, 3, 0.000130761
5, 3, 0.000115707
5, 3, 0.000117277
5, 3, 0.000136464
5, 3, 0.000123654
5, 3, 0.000118590
5, 3, 0.000112717
5, 3, 0.000117789
5, 3, 0.000112420
5, 3, 0.000116955
5, 3, 0.000123055
5, 3, 0.000116466
5, 3, 0.000116390
5, 3, 0.000132022
5, 3, 0.000164991
5, 3, 0.000126320
5, 3, 0.000112592
5, 3, 0.000112370
5, 3, 0.000116673
5, 3, 0.000121281
5, 3, 0.000114983
5, 3, 0.000125248
5, 3, 0.000113530
5, 3, 0.000112213
5, 3, 0.000106784
5, 3, 0.000129051
5, 3, 0.000102793
5, 3, 0.000107153
5, 3, 0.000112864
5, 3, 0.000107551
5, 3, 0.000113172
5, 3, 0.000103578
5, 3, 0.000126552
5, 3, 0.000110709
5, 3, 0.000137078
5, 3, 0.000238386
5, 3, 0.000137959
5, 3, 0.000124427
5, 3, 0.000120699
5, 3, 0.000121760
5, 3, 0.000151943
5, 3, 0.000139015
5, 3, 0.000115281
5, 3, 0.000119241
5, 3, 0.000116001
5, 3, 0.000111395
5, 3, 0.000113412
5, 3, 0.000115774
5, 3, 0.000118276
5, 3, 0.000141741
5, 3, 0.000113832
5, 3, 0.000111565
5, 3, 0.000119457
5, 3, 0.000113790
5, 3, 0.000169641
5, 3, 0.000115505
5, 3, 0.000114302
5, 3, 0.000111638
5, 3, 0.000117093
5, 3, 0.000110128
5, 3, 0.000121323
5, 3, 0.000311397
5, 3, 0.000138480
5, 3, 0.000248752
5, 3, 0.000247601
5, 3, 0.000134275
5, 3, 0.000136015
5, 3, 0.000142852
5, 3, 0.000116337
5, 3, 0.000113993
5, 3, 0.000108126
5, 3, 0.000117282
5, 3, 0.000112744
5, 3, 0.000112842
5, 3, 0.000117804
5, 3, 0.000112203
5, 3, 0.000106387
5, 3, 0.000113069
5, 3, 0.000110240
5, 3, 0.000150415
5, 3, 0.000155210
5, 3, 0.000120268
5, 3, 0.000126713
5, 3, 0.000114649
5, 3, 0.000111261
5, 3, 0.000116744
5, 3, 0.000117981
5, 3, 0.000130705
5, 3, 0.000114422
5, 3, 0.000106166
5, 3, 0.000108625
5, 3, 0.000114038
5, 3, 0.000113408
5, 3, 0.000109151
5, 3, 0.000113909
5, 3, 0.000108633
5, 3, 0.000181490
5, 3, 0.000122263
5, 3, 0.000126353
5, 3, 0.000114403
5, 3, 0.000119057
5, 3, 0.000115710
5, 3, 0.000115092
5, 3, 0.000122133
5, 3, 0.000115175
5, 3, 0.000110551
5, 3, 0.000110565
5, 3, 0.000111334
5, 3, 0.000118982
5, 3, 0.000130585
5, 3, 0.000222211
5, 3, 0.000191316
5, 3, 0.000333793
5, 3, 0.000171177
5, 3, 0.000153929
5, 3, 0.000131348
5, 3, 0.000124901
5, 3, 0.000121825
5, 3, 0.000120380
5, 3, 0.000126420
5, 3, 0.000115220
5, 3, 0.000126482
5, 3, 0.000115682
5, 3, 0.000114292
5, 3, 0.000119851
5, 3, 0.000131977
5, 3, 0.000113273
5, 3, 0.000106285
5, 3, 0.000146387
5, 3, 0.000117872
5, 3, 0.000119869
5, 3, 0.000108812
5, 3, 0.000117719
5, 3, 0.000113710
5, 3, 0.000116115
5, 3, 0.000154062
5, 3, 0.000117452
5, 3, 0.000113059
5, 3, 0.000113209
5, 3, 0.000115844
5, 3, 0.000116097
5, 3, 0.000114650
5, 3, 0.000112320
5, 3, 0.000113361
5, 3, 0.000109294
5, 3, 0.000103119
5, 3, 0.000102692
5, 3, 0.000109331
5, 3, 0.000116952
5, 3, 0.000106968
5, 3, 0.000101609
5, 3, 0.000111722
5, 3, 0.000143202
5, 3, 0.000117402
5, 3, 0.000110734
5, 3, 0.000122782
5, 3, 0.000131276
5, 3, 0.000110999
5, 3, 0.000107285
5, 3, 0.000115923
5, 3, 0.000111118
5, 3, 0.000113554
5, 3, 0.000104424
5, 3, 0.000110460
5, 3, 0.000152645
5, 3, 0.000125113
5, 3, 0.000118460
5, 3, 0.000109917
5, 3, 0.000110386
5, 3, 0.000109896
5, 3, 0.000112680
5, 3, 0.000113732
5, 3, 0.000105378
5, 3, 0.000112941
5, 3, 0.000107539
5, 3, 0.000108089
5, 3, 0.000110197
5, 3, 0.000105430
5, 3, 0.000100443
5, 3, 0.000099923
5, 3, 0.000112471
5, 3, 0.000109284
5, 3, 0.000109517
5, 3, 0.000105339
5, 3, 0.000119940
5, 3, 0.000117324
5, 3, 0.000130157
5, 3, 0.000108189
5, 3, 0.000110612
5, 3, 0.000209234
5, 3, 0.000117615
5, 3, 0.000125598
5, 3, 0.000117003
5, 3, 0.000124940
5, 3, 0.000118722
5, 3, 0.000120297
5, 3, 0.000117392
5, 3, 0.000118700
5, 3, 0.000113822
5, 3, 0.000112397
5, 3, 0.000116149
5, 3, 0.000128789
5, 3, 0.000112500
5, 3, 0.000111386
5, 3, 0.000114865
5, 3, 0.000113212
5, 3, 0.000109562
5, 3, 0.000113351
5, 3, 0.000129899
5, 3, 0.000113948
5, 3, 0.000117568
5, 3, 0.000110509
5, 3, 0.000116149
5, 3, 0.000111378
5, 3, 0.000112050
5, 3, 0.000103702
5, 3, 0.000109060
5, 3, 0.000136967
5, 3, 0.000124381
5, 3, 0.000107500
5, 3, 0.000148983
5, 3, 0.000114429
5, 3, 0.000125951
5, 3, 0.000123820
5, 3, 0.000111436
5, 3, 0.000108044
5, 3, 0.000115877
5, 3, 0.000109978
5, 3, 0.000110836
5, 3, 0.000108393
5, 3, 0.000107910
5, 3, 0.000110857
5, 3, 0.000105855
5, 3, 0.000108850
5, 3, 0.000107949
5, 3, 0.000107637
5, 3, 0.000107853
5, 3, 0.000105091
5, 3, 0.000149115
5, 3, 0.000118293
5, 3, 0.000200112
5, 3, 0.000121124
5, 3, 0.000121704
5, 3, 0.000113113
5, 3, 0.000114973
5, 3, 0.000109228
5, 3, 0.000108130
5, 3, 0.000109520
5, 3, 0.000113985
5, 3, 0.000108714
5, 3, 0.000106201
5, 3, 0.000101403
5, 3, 0.000099252
5, 3, 0.000117904
5, 3, 0.000111809
5, 3, 0.000103698
5, 3, 0.000104631
5, 3, 0.000103723
5, 3, 0.000109774
5, 3, 0.000104411
5, 3, 0.000110634
5, 3, 0.000110611
5, 3, 0.000104244
5, 3, 0.000126940
5, 3, 0.000127639
5, 3, 0.000115635
5, 3, 0.000106215
5, 3, 0.000101633
5, 3, 0.000104743
5, 3, 0.000214295
5, 3, 0.000247101
5, 3, 0.000211347
5, 3, 0.000403829
5, 3, 0.000166365
5, 3, 0.000135378
5, 3, 0.000121181
5, 3, 0.000128469
5, 3, 0.000118251
5, 3, 0.000111483
5, 3, 0.000116653
5, 3, 0.000119060
5, 3, 0.000124680
5, 3, 0.000113330
5, 3, 0.000115900
5, 3, 0.000119812
5, 3, 0.000125024
5, 3, 0.000112331
5, 3, 0.000135595
5, 3, 0.000117620
5, 3, 0.000118895
5, 3, 0.000109348
5, 3, 0.000114566
5, 3, 0.000116751
5, 3, 0.000118683
5, 3, 0.000110027
5, 3, 0.000137743
5, 3, 0.000123582
5, 3, 0.000117209
5, 3, 0.000108513
5, 3, 0.000116752
5, 3, 0.000112891
5, 3, 0.000112980
5, 3, 0.000103629
5, 3, 0.000114318
5, 3, 0.000115170
5, 3, 0.000105989
5, 3, 0.000108546
5, 3, 0.000107820
5, 3, 0.000103993
5, 3, 0.000108543
5, 3, 0.000116102
5, 3, 0.000104414
5, 3, 0.000104668
5, 3, 0.000104006
5, 3, 0.000111177
5, 3, 0.000120342
5, 3, 0.000113943
5, 3, 0.000108965
5, 3, 0.000134414
5, 3, 0.000130109
5, 3, 0.000115131
5, 3, 0.000112830
5, 3, 0.000166632
5, 3, 0.000127301
5, 3, 0.000118543
5, 3, 0.000117594
5, 3, 0.000107417
5, 3, 0.000108910
5, 3, 0.000113775
5, 3, 0.000123469
5, 3, 0.000111387
5, 3, 0.000109080
5, 3, 0.000112193
5, 3, 0.000111793
5, 3, 0.000113147
5, 3, 0.000120340
5, 3, 0.000110913
5, 3, 0.000112275
