n,m,time(s),sat
5,3,0.000022877,True
5,3,0.000010267,True
5,3,0.000011661,True
5,3,0.000014670,True
5,3,0.000013711,True
5,3,0.000014442,True
5,3,0.000013520,True
5,3,0.000011374,True
5,3,0.000013867,True
5,3,0.000012022,True
5,3,0.000011992,True
5,3,0.000013614,True
5,3,0.000012227,True
5,3,0.000010820,True
5,3,0.000016717,True
5,3,0.000013091,True
5,3,0.000011590,True
5,3,0.000015138,True
5,3,0.000012135,True
5,3,0.000011120,True
5,3,0.000011420,True
5,3,0.000013933,True
5,3,0.000012244,True
5,3,0.000015435,True
5,3,0.000015107,True
5,3,0.000011026,True
5,3,0.000014340,True
5,3,0.000014257,True
5,3,0.000010230,True
5,3,0.000012081,True
5,3,0.000012594,True
5,3,0.000015066,True
5,3,0.000011920,True
5,3,0.000010535,True
5,3,0.000010412,True
5,3,0.000013997,True
5,3,0.000011829,True
5,3,0.000011938,True
5,3,0.000009970,True
5,3,0.000010008,True
5,3,0.000013331,True
5,3,0.000012192,True
5,3,0.000012854,True
5,3,0.000013959,True
5,3,0.000012130,True
5,3,0.000014539,True
5,3,0.000011712,True
5,3,0.000012703,True
5,3,0.000012997,True
5,3,0.000013172,True
5,3,0.000011965,True
5,3,0.000013249,True
5,3,0.000012366,True
5,3,0.000011570,True
5,3,0.000012313,True
5,3,0.000014513,True
5,3,0.000011761,True
5,3,0.000011418,True
5,3,0.000010598,True
5,3,0.000013627,True
5,3,0.000009762,True
5,3,0.000010859,True
5,3,0.000012222,True
5,3,0.000012146,True
5,3,0.000015350,True
5,3,0.000011457,True
5,3,0.000013093,True
5,3,0.000012852,True
5,3,0.000015453,True
5,3,0.000011539,True
5,3,0.000010837,True
5,3,0.000015838,True
5,3,0.000011416,True
5,3,0.000011282,True
5,3,0.000015047,True
5,3,0.000014960,True
5,3,0.000011384,True
5,3,0.000010101,True
5,3,0.000013898,True
5,3,0.000011633,True
5,3,0.000012198,True
5,3,0.000013659,True
5,3,0.000013749,True
5,3,0.000012308,True
5,3,0.000011347,True
5,3,0.000011452,True
5,3,0.000012209,True
5,3,0.000012693,True
5,3,0.000011241,True
5,3,0.000012840,True
5,3,0.000012037,True
5,3,0.000010749,True
5,3,0.000013298,True
5,3,0.000012832,True
5,3,0.000014164,True
5,3,0.000011235,True
5,3,0.000011849,True
5,3,0.000014299,True
5,3,0.000010722,True
5,3,0.000011433,True
5,3,0.000014082,True
5,3,0.000011794,True
5,3,0.000011641,True
5,3,0.000014988,True
5,3,0.000011711,True
5,3,0.000011037,True
5,3,0.000010550,True
5,3,0.000013229,True
5,3,0.000011024,True
5,3,0.000012458,True
5,3,0.000010486,True
5,3,0.000011814,True
5,3,0.000012128,True
5,3,0.000010792,True
5,3,0.000011107,True
5,3,0.000012155,True
5,3,0.000011112,True
5,3,0.000011417,True
5,3,0.000012475,True
5,3,0.000013669,True
5,3,0.000010818,True
5,3,0.000009787,True
5,3,0.000009975,True
5,3,0.000011664,True
5,3,0.000011647,True
5,3,0.000009965,True
5,3,0.000012042,True
5,3,0.000012793,True
5,3,0.000013617,True
5,3,0.000011531,True
5,3,0.000010962,True
5,3,0.000012555,True
5,3,0.000011264,True
5,3,0.000010113,True
5,3,0.000012832,True
5,3,0.000014155,True
5,3,0.000011148,True
5,3,0.000010855,True
5,3,0.000014532,True
5,3,0.000017091,True
5,3,0.000011568,True
5,3,0.000011476,True
5,3,0.000013616,True
5,3,0.000012424,True
5,3,0.000010762,True
5,3,0.000011644,True
5,3,0.000013497,True
