n,m,time(s),sat
5,0,0.000061186,True
5,1,0.000039444,True
5,1,0.000041807,True
5,1,0.000038551,True
5,1,0.000039586,True
5,1,0.000042174,True
5,1,0.000037588,True
5,1,0.000042101,True
5,1,0.000040074,True
5,1,0.000041466,True
5,1,0.000041454,True
5,1,0.000037258,True
5,1,0.000053516,True
5,1,0.000046385,True
5,1,0.000071303,True
5,1,0.000038337,True
5,1,0.000042056,True
5,1,0.000037708,True
5,1,0.000037886,True
5,1,0.000040318,True
5,1,0.000040632,True
5,2,0.000038482,True
5,2,0.000049900,True
5,2,0.000025652,True
5,2,0.000022178,True
5,2,0.000023403,True
5,2,0.000023058,True
5,2,0.000023972,True
5,2,0.000024501,True
5,2,0.000024106,True
5,2,0.000024577,True
5,2,0.000025269,True
5,2,0.000027447,True
5,2,0.000026523,True
5,2,0.000027078,True
5,2,0.000028521,True
5,2,0.000027234,True
5,2,0.000028573,True
5,2,0.000028838,True
5,2,0.000024325,True
5,2,0.000024054,True
5,2,0.000025174,True
5,2,0.000026303,True
5,2,0.000025593,True
5,2,0.000024265,True
5,2,0.000025537,True
5,2,0.000026808,True
5,2,0.000025801,True
5,2,0.000026546,True
5,2,0.000026682,True
5,2,0.000024991,True
5,2,0.000025188,True
5,2,0.000024568,True
5,2,0.000024646,True
5,2,0.000025900,True
5,2,0.000029312,True
5,2,0.000027630,True
5,2,0.000029565,True
5,2,0.000030365,True
5,2,0.000028317,True
5,2,0.000029318,True
5,2,0.000028901,True
5,2,0.000027732,True
5,2,0.000024221,True
5,2,0.000025154,True
5,2,0.000023080,True
5,2,0.000024133,True
5,2,0.000025096,True
5,2,0.000024792,True
5,2,0.000026311,True
5,2,0.000028680,True
5,2,0.000026938,True
5,2,0.000027453,True
5,2,0.000055651,True
5,2,0.000026794,True
5,2,0.000023445,True
5,2,0.000025110,True
5,2,0.000027758,True
5,2,0.000028490,True
5,2,0.000024584,True
5,2,0.000024583,True
5,2,0.000025014,True
5,2,0.000028316,True
5,2,0.000027390,True
5,2,0.000026905,True
5,2,0.000028962,True
5,2,0.000025034,True
5,2,0.000027412,True
5,2,0.000026859,True
5,2,0.000027208,True
5,2,0.000026331,True
5,2,0.000027554,True
5,2,0.000028074,True
5,2,0.000024948,True
5,2,0.000025473,True
5,2,0.000022267,True
5,2,0.000024146,True
5,2,0.000025545,True
5,2,0.000022823,True
5,2,0.000023041,True
5,2,0.000024059,True
5,2,0.000023559,True
5,2,0.000023841,True
5,2,0.000026535,True
5,2,0.000024148,True
5,2,0.000023548,True
5,2,0.000022583,True
5,2,0.000025150,True
5,2,0.000025022,True
5,2,0.000024078,True
5,2,0.000026174,True
5,2,0.000026275,True
5,2,0.000024515,True
5,2,0.000023233,True
5,2,0.000024437,True
5,2,0.000024464,True
5,2,0.000025322,True
5,2,0.000025446,True
5,2,0.000024389,True
5,2,0.000025978,True
5,2,0.000023853,True
5,2,0.000024803,True
5,2,0.000023683,True
5,2,0.000030575,True
5,2,0.000023431,True
